msisdn_a,msisdn_b,imei,tower_id,tower_lat,tower_lon,call_type,duration_sec,timestamp
+919000000001,+919000000004,IMEI-A1,Tower-T06,12.2958,76.6394,CALL,300,2024-01-01 09:24:06
+919000000001,+919000000002,IMEI-A1,Tower-T01,12.9716,77.5946,CALL,125,2024-01-01 09:37:27
+919000000001,+919000000002,IMEI-A1,Tower-T14,13.055,80.21,CALL,588,2024-01-01 11:08:47
+919000000001,+919000100001,IMEI-A1,Tower-T01,12.9716,77.5946,CALL,233,2024-01-01 11:14:32
+919000000001,+919000100002,IMEI-A1,Tower-T09,16.5062,80.648,CALL,581,2024-01-01 12:08:15
+919000000001,+919999000001,IMEI-A1,Tower-T01,12.9716,77.5946,CALL,299,2024-01-01 12:27:10
+919000000001,+919000000004,IMEI-A1,Tower-T03,17.385,78.4867,CALL,409,2024-01-01 12:29:40
+919000000001,+919999000001,IMEI-A1,Tower-T10,22.5726,88.3639,CALL,438,2024-01-01 12:47:37
+919000000001,+919000000004,IMEI-A1,Tower-T03,17.385,78.4867,SMS,0,2024-01-01 13:01:07
+919000000001,+919000000004,IMEI-A1,Tower-T14,13.055,80.21,CALL,103,2024-01-01 13:13:42
+919000000001,+919000100001,IMEI-A1,Tower-T08,11.0168,76.9558,CALL,123,2024-01-01 13:14:08
+919000000001,+919000000003,IMEI-A1,Tower-T06,12.2958,76.6394,CALL,134,2024-01-01 13:17:09
+919000000001,+919000100001,IMEI-A1,Tower-T09,16.5062,80.648,CALL,30,2024-01-01 13:48:10
+919000000001,+919999000001,IMEI-A1,Tower-T04,19.076,72.8777,CALL,135,2024-01-01 14:14:51
+919000000001,+919000100001,IMEI-A1,Tower-T05,28.7041,77.1025,CALL,596,2024-01-01 14:38:29
+919000000001,+919000100002,IMEI-A1,Tower-T09,16.5062,80.648,CALL,254,2024-01-01 15:24:17
+919000000001,+919000000002,IMEI-A1,Tower-T03,17.385,78.4867,CALL,462,2024-01-01 15:37:17
+919000000001,+919000100001,IMEI-A1,Tower-T02,13.0827,80.2707,CALL,335,2024-01-01 16:48:11
+919000000001,+919000000002,IMEI-A1,Tower-T01,12.9716,77.5946,CALL,263,2024-01-01 17:12:45
+919000000001,+919000000002,IMEI-A1,Tower-T10,22.5726,88.3639,SMS,0,2024-01-01 17:16:02
+919000000001,+919000100001,IMEI-A1,Tower-T04,19.076,72.8777,CALL,197,2024-01-01 17:40:10
+919000000001,+919000100002,IMEI-A1,Tower-T05,28.7041,77.1025,CALL,280,2024-01-01 18:07:01
+919000000001,+919000000002,IMEI-A1,Tower-T04,19.076,72.8777,CALL,62,2024-01-01 18:20:53
+919000000001,+919000100002,IMEI-A1,Tower-T08,11.0168,76.9558,CALL,176,2024-01-01 18:31:25
+919000000001,+919000100002,IMEI-A1,Tower-T09,16.5062,80.648,SMS,0,2024-01-01 18:32:25
+919000000001,+919000100001,IMEI-A1,Tower-T07,15.8497,74.4977,CALL,255,2024-01-01 19:41:44
+919000000001,+919999000001,IMEI-A1,Tower-T09,16.5062,80.648,CALL,157,2024-01-01 20:02:46
+919000000001,+919000000002,IMEI-A1,Tower-T03,17.385,78.4867,CALL,193,2024-01-01 20:03:55
+919000000001,+919000100002,IMEI-A1,Tower-T06,12.2958,76.6394,CALL,144,2024-01-01 20:17:49
+919000000001,+919000000003,IMEI-A1,Tower-T02,13.0827,80.2707,CALL,419,2024-01-01 20:18:05
+919000000001,+919000000004,IMEI-A1,Tower-T02,13.0827,80.2707,CALL,246,2024-01-01 20:20:25
+919000000001,+919000100001,IMEI-A1,Tower-T02,13.0827,80.2707,CALL,424,2024-01-01 20:43:27
+919000000001,+919000100002,IMEI-A1,Tower-T02,13.0827,80.2707,CALL,579,2024-01-01 21:00:43
+919000000001,+919000000004,IMEI-A1,Tower-T06,12.2958,76.6394,SMS,0,2024-01-01 21:04:49
+919000000001,+919000100001,IMEI-A1,Tower-T04,19.076,72.8777,CALL,186,2024-01-01 21:40:32
