msisdn,dest_ip,dest_port,data_volume_kb,timestamp
+919000000002,103.12.3.1,8080,60.35,2024-01-01 10:59:20
+919000000002,103.45.1.1,8080,324.68,2024-01-01 13:04:50
+919000000002,103.49.2.1,443,792.01,2024-01-01 21:42:19
+919000000002,103.21.4.1,8080,167.78,2024-01-02 16:04:50
+919000000002,103.44.4.1,443,228.99,2024-01-02 16:25:05
+919000000002,103.23.3.1,443,300.64,2024-01-02 18:21:21
+919000000002,103.49.4.1,443,387.56,2024-01-03 11:02:43
+919000000002,103.17.2.1,8080,290.0,2024-01-03 14:16:34
+919000000002,103.38.3.1,8080,200.59,2024-01-03 15:02:18
+919000000002,103.32.1.1,8080,617.56,2024-01-03 15:15:57
+919000000002,103.43.4.1,8080,18.72,2024-01-03 15:35:52
+919000000002,103.43.1.1,8080,804.79,2024-01-03 21:49:23
+919000000002,103.15.2.1,8080,537.87,2024-01-04 09:10:49
+919000000002,103.13.2.1,8080,79.74,2024-01-04 10:50:16
+919000000002,103.14.1.1,80,866.3,2024-01-04 11:42:40
+919000000002,103.11.3.1,80,96.65,2024-01-04 15:45:21
+919000000002,103.37.4.1,8080,689.18,2024-01-04 18:52:04
+919000000002,103.37.1.1,8080,830.46,2024-01-04 21:06:13
+919000000002,103.30.1.1,80,539.49,2024-01-05 08:24:43
+919000000002,103.49.3.1,8080,55.06,2024-01-05 09:48:47
+919000000002,103.26.3.1,8080,410.4,2024-01-05 14:24:28
+919000000002,103.15.3.1,443,387.6,2024-01-06 12:48:59
+919000000002,103.32.4.1,8080,308.34,2024-01-06 16:06:18
+919000000002,103.40.2.1,80,749.29,2024-01-07 10:34:14
+919000000002,103.44.4.1,443,680.52,2024-01-07 12:40:09
+919000000002,103.32.1.1,8080,852.94,2024-01-08 11:26:57
+919000000002,103.15.2.1,8080,904.51,2024-01-08 12:13:47
+919000000002,103.10.3.1,80,132.0,2024-01-08 16:55:35
+919000000002,103.10.2.1,8080,552.05,2024-01-08 17:38:25
+919000000002,103.20.2.1,443,202.38,2024-01-09 10:14:39
+919000000002,103.45.1.1,80,297.75,2024-01-09 15:41:35
+919000000002,103.21.3.1,80,852.87,2024-01-09 18:51:36
+919000000002,103.26.1.1,8080,492.32,2024-01-10 09:12:46
+919000000002,103.31.1.1,8080,242.19,2024-01-10 13:08:42
+919000000002,103.20.4.1,80,715.08,2024-01-11 08:20:15
+919000000002,103.49.3.1,443,491.0,2024-01-11 09:57:12
+919000000002,103.46.1.1,443,959.07,2024-01-11 17:23:51
+919000000002,103.31.1.1,8080,588.33,2024-01-11 17:42:19
+919000000002,103.16.4.1,80,843.38,2024-01-12 10:41:38
