msisdn_a,msisdn_b,imei,tower_id,tower_lat,tower_lon,call_type,duration_sec,timestamp
+919000000003,+919999000001,IMEI-C1,Tower-T01,12.9716,77.5946,CALL,85,2024-01-01 13:40:14
+919000000003,+919000000002,IMEI-C1,Tower-T03,17.385,78.4867,CALL,224,2024-01-01 15:47:27
+919000000003,+919000000004,IMEI-C1,Tower-T02,13.0827,80.2707,CALL,233,2024-01-01 16:45:14
+919000000003,+919000000004,IMEI-C1,Tower-T02,13.0827,80.2707,CALL,33,2024-01-01 20:16:18
+919000000003,+919999000001,IMEI-C1,Tower-T01,12.9716,77.5946,CALL,265,2024-01-01 21:47:02
+919000000003,+919999000001,IMEI-C1,Tower-T06,12.2958,76.6394,CALL,75,2024-01-02 08:20:10
+919000000003,+919000000002,IMEI-C1,Tower-T14,13.055,80.21,CALL,90,2024-01-02 14:05:00
+919000000003,+919000000002,IMEI-C1,Tower-T14,13.055,80.21,CALL,90,2024-01-02 14:15:00
+919000000003,+919000000002,IMEI-C1,Tower-T14,13.055,80.21,CALL,90,2024-01-02 14:25:00
+919000000003,+919999000001,IMEI-C1,Tower-T08,11.0168,76.9558,CALL,85,2024-01-02 16:21:45
+919000000003,+919000000004,IMEI-C1,Tower-T02,13.0827,80.2707,CALL,237,2024-01-02 19:40:26
+919000000003,+919999000001,IMEI-C1,Tower-T10,22.5726,88.3639,CALL,237,2024-01-02 21:20:36
+919000000003,+919000000004,IMEI-C1,Tower-T04,19.076,72.8777,CALL,118,2024-01-03 11:06:09
+919000000003,+919999000001,IMEI-C1,Tower-T03,17.385,78.4867,CALL,164,2024-01-03 12:00:35
+919000000003,+919000000001,IMEI-C1,Tower-T09,16.5062,80.648,CALL,88,2024-01-03 13:49:10
+919000000003,+919000000004,IMEI-C1,Tower-T06,12.2958,76.6394,CALL,143,2024-01-03 16:05:25
+919000000003,+919000000004,IMEI-C1,Tower-T06,12.2958,76.6394,CALL,105,2024-01-03 16:32:12
+919000000003,+919000000001,IMEI-C1,Tower-T03,17.385,78.4867,CALL,282,2024-01-03 17:09:48
+919000000003,+919999000001,IMEI-C1,Tower-T10,22.5726,88.3639,CALL,235,2024-01-03 21:06:15
+919000000003,+919999000001,IMEI-C1,Tower-T01,12.9716,77.5946,CALL,59,2024-01-04 09:19:29
+919000000003,+919999000001,IMEI-C1,Tower-T08,11.0168,76.9558,CALL,185,2024-01-04 10:28:04
+919000000003,+919000000001,IMEI-C1,Tower-T14,13.055,80.21,CALL,76,2024-01-04 13:53:18
