msisdn_a,msisdn_b,imei,tower_id,tower_lat,tower_lon,call_type,duration_sec,timestamp
+919000000004,+919000000003,IMEI-D1,Tower-T03,17.385,78.4867,CALL,288,2024-01-01 14:18:29
+919000000004,+919000000002,IMEI-D1,Tower-T06,12.2958,76.6394,CALL,113,2024-01-01 16:17:12
+919000000004,+919000000003,IMEI-D1,Tower-T04,19.076,72.8777,CALL,33,2024-01-02 11:08:30
+919000000004,+919000000003,IMEI-D1,Tower-T05,28.7041,77.1025,CALL,198,2024-01-02 13:24:15
+919000000004,+919000000002,IMEI-D1,Tower-T03,17.385,78.4867,CALL,237,2024-01-02 13:36:43
+919000000004,+919000000002,IMEI-D1,Tower-T07,15.8497,74.4977,CALL,78,2024-01-02 15:32:20
+919000000004,+919000000002,IMEI-D1,Tower-T01,12.9716,77.5946,CALL,202,2024-01-02 19:16:45
+919000000004,+919000000003,IMEI-D1,Tower-T02,13.0827,80.2707,CALL,181,2024-01-03 11:25:43
+919000000004,+919000000002,IMEI-D1,Tower-T03,17.385,78.4867,CALL,274,2024-01-03 14:39:14
+919000000004,+919000000002,IMEI-D1,Tower-T05,28.7041,77.1025,CALL,214,2024-01-03 18:46:36
+919000000004,+919000000002,IMEI-D1,Tower-T08,11.0168,76.9558,CALL,187,2024-01-03 20:15:03
+919000000004,+919000000003,IMEI-D1,Tower-T07,15.8497,74.4977,CALL,271,2024-01-04 16:47:38
+919000000004,+919000000003,IMEI-D1,Tower-T02,13.0827,80.2707,CALL,87,2024-01-04 17:28:33
+919000000004,+919000000002,IMEI-D1,Tower-T04,19.076,72.8777,CALL,71,2024-01-04 17:51:42
+919000000004,+919000000003,IMEI-D1,Tower-T02,13.0827,80.2707,CALL,135,2024-01-05 11:20:54
+919000000004,+919000000002,IMEI-D1,Tower-T10,22.5726,88.3639,CALL,106,2024-01-05 17:57:32
+919000000004,+919000000002,IMEI-D1,Tower-T09,16.5062,80.648,CALL,60,2024-01-06 09:27:22
+919000000004,+919000000003,IMEI-D1,Tower-T01,12.9716,77.5946,CALL,262,2024-01-06 10:57:32
+919000000004,+919000000003,IMEI-D1,Tower-T10,22.5726,88.3639,CALL,59,2024-01-06 11:32:26
+919000000004,+919000000002,IMEI-D1,Tower-T10,22.5726,88.3639,CALL,67,2024-01-06 13:52:00
+919000000004,+919000000003,IMEI-D1,Tower-T01,12.9716,77.5946,CALL,232,2024-01-06 17:29:43
+919000000004,+919000000003,IMEI-D1,Tower-T03,17.385,78.4867,CALL,99,2024-01-07 16:02:18
+919000000004,+919000000003,IMEI-D1,Tower-T06,12.2958,76.6394,CALL,225,2024-01-07 19:46:41
