msisdn_a,msisdn_b,imei,tower_id,tower_lat,tower_lon,call_type,duration_sec,timestamp
+919000000005,+918800000007,IMEI-E1,Tower-T06,12.2958,76.6394,CALL,419,2024-01-01 14:34:02
+919000000005,+918800000005,IMEI-E1,Tower-T14,13.055,80.21,CALL,406,2024-01-01 18:39:02
+919000000005,+918800000006,IMEI-E1,Tower-T06,12.2958,76.6394,CALL,145,2024-01-01 20:15:42
+919000000005,+918800000006,IMEI-E1,Tower-T02,13.0827,80.2707,CALL,115,2024-01-01 20:34:38
+919000000005,+918800000002,IMEI-E1,Tower-T09,16.5062,80.648,CALL,442,2024-01-02 08:06:16
+919000000005,+918800000007,IMEI-E1,Tower-T07,15.8497,74.4977,CALL,114,2024-01-02 14:48:21
+919000000005,+918800000004,IMEI-E1,Tower-T14,13.055,80.21,CALL,361,2024-01-02 15:23:25
+919000000005,+918800000006,IMEI-E1,Tower-T10,22.5726,88.3639,CALL,173,2024-01-02 16:35:37
+919000000005,+918800000001,IMEI-E1,Tower-T02,13.0827,80.2707,CALL,485,2024-01-03 12:26:58
+919000000005,+918800000001,IMEI-E1,Tower-T08,11.0168,76.9558,CALL,113,2024-01-03 16:09:22
+919000000005,+918800000003,IMEI-E1,Tower-T06,12.2958,76.6394,CALL,293,2024-01-03 19:09:22
+919000000005,+918800000004,IMEI-E1,Tower-T06,12.2958,76.6394,CALL,303,2024-01-03 20:13:33
+919000000005,+918800000006,IMEI-E1,Tower-T02,13.0827,80.2707,CALL,71,2024-01-04 12:02:51
+919000000005,+918800000004,IMEI-E1,Tower-T06,12.2958,76.6394,CALL,94,2024-01-04 15:46:44
+919000000005,+918800000005,IMEI-E1,Tower-T03,17.385,78.4867,CALL,229,2024-01-05 11:33:11
+919000000005,+918800000002,IMEI-E1,Tower-T07,15.8497,74.4977,CALL,382,2024-01-05 16:27:29
+919000000005,+918800000007,IMEI-E1,Tower-T03,17.385,78.4867,CALL,439,2024-01-05 18:06:43
+919000000005,+918800000004,IMEI-E1,Tower-T07,15.8497,74.4977,CALL,74,2024-01-06 10:40:42
+919000000005,+918800000002,IMEI-E1,Tower-T08,11.0168,76.9558,CALL,363,2024-01-06 19:39:56
+919000000005,+918800000005,IMEI-E1,Tower-T03,17.385,78.4867,CALL,247,2024-01-07 09:51:55
+919000000005,+918800000002,IMEI-E1,Tower-T04,19.076,72.8777,CALL,202,2024-01-07 14:00:45
+919000000005,+918800000007,IMEI-E1,Tower-T02,13.0827,80.2707,CALL,355,2024-01-07 20:45:51
+919000000005,+918800000003,IMEI-E1,Tower-T14,13.055,80.21,CALL,310,2024-01-08 11:29:07
+919000000005,+918800000003,IMEI-E1,Tower-T06,12.2958,76.6394,CALL,492,2024-01-08 14:37:07
+919000000005,+918800000005,IMEI-E1,Tower-T07,15.8497,74.4977,CALL,372,2024-01-08 16:40:20
+919000000005,+918800000002,IMEI-E1,Tower-T06,12.2958,76.6394,CALL,415,2024-01-09 11:19:07
+919000000005,+918800000002,IMEI-E1,Tower-T06,12.2958,76.6394,CALL,120,2024-01-09 17:05:43
+919000000005,+918800000006,IMEI-E1,Tower-T05,28.7041,77.1025,CALL,374,2024-01-09 17:11:52
+919000000005,+918800000004,IMEI-E1,Tower-T14,13.055,80.21,CALL,335,2024-01-10 14:27:11
